Lake,Year,Species,Developmental stage,GE
Arlet,2008,Bufo bufo,Metamorph,0
Arlet,2008,Bufo bufo,Metamorph,0
Arlet,2008,Bufo bufo,Metamorph,0
Arlet,2008,Bufo bufo,Metamorph,0
Arlet,2008,Bufo bufo,Metamorph,0
Arlet,2008,Bufo bufo,Metamorph,0
Arlet,2008,Bufo bufo,Metamorph,0.642968
Arlet,2008,Bufo bufo,Metamorph,0
Arlet,2008,Bufo bufo,Metamorph,1.39501
Arlet,2008,Bufo bufo,Metamorph,0.378954
Arlet,2008,Bufo bufo,Metamorph,0
Arlet,2008,Bufo bufo,Metamorph,0
Arlet,2008,Bufo bufo,Metamorph,0.702246
Arlet,2008,Bufo bufo,Metamorph,0.212438
Arlet,2008,Bufo bufo,Metamorph,0
Arlet,2008,Bufo bufo,Metamorph,0.494151
Arlet,2008,Bufo bufo,Metamorph,0.199977
Arlet,2008,Bufo bufo,Metamorph,0.309261
Arlet,2008,Bufo bufo,Metamorph,0
Arlet,2008,Bufo bufo,Metamorph,0
Arlet,2008,Bufo bufo,Metamorph,0.104953
Arlet,2008,Bufo bufo,Metamorph,0
Arlet,2008,Bufo bufo,Metamorph,0.0726088
Arlet,2008,Bufo bufo,Metamorph,0.0973782
Arlet,2008,Bufo bufo,Metamorph,0
Arlet,2008,Bufo bufo,Metamorph,0
Arlet,2010,Bufo bufo,Metamorph,1.05475
Arlet,2010,Bufo bufo,Metamorph,9.51638
Arlet,2010,Bufo bufo,Metamorph,6.84503
Arlet,2010,Bufo bufo,Metamorph,24.8698
Arlet,2010,Bufo bufo,Metamorph,0
Arlet,2010,Bufo bufo,Metamorph,0
Arlet,2010,Bufo bufo,Metamorph,0.649163
Arlet,2010,Bufo bufo,Metamorph,4.99436
Arlet,2010,Bufo bufo,Metamorph,67.6824
Arlet,2010,Bufo bufo,Metamorph,0
Arlet,2010,Bufo bufo,Metamorph,1.72034
Arlet,2010,Bufo bufo,Metamorph,0.278119
Arlet,2010,Bufo bufo,Metamorph,0.624959
Arlet,2010,Bufo bufo,Metamorph,0.887936
Arlet,2010,Bufo bufo,Metamorph,0.621252
Arlet,2010,Bufo bufo,Metamorph,0.269443
Arlet,2010,Bufo bufo,Metamorph,0.180019
Arlet,2010,Bufo bufo,Metamorph,0.260385
Arlet,2010,Bufo bufo,Metamorph,1.94484
Arlet,2010,Bufo bufo,Metamorph,2.12655
Arlet,2010,Bufo bufo,Metamorph,2.15697
Arlet,2010,Bufo bufo,Metamorph,0.542882
Arlet,2010,Bufo bufo,Metamorph,0.645829
Arlet,2010,Bufo bufo,Metamorph,1.63368
Arlet,2010,Bufo bufo,Metamorph,0.524217
Arlet,2010,Bufo bufo,Metamorph,0.0996201
Arlet,2010,Bufo bufo,Metamorph,0.078319
Arlet,2010,Bufo bufo,Metamorph,0.22426
Arlet,2010,Bufo bufo,Metamorph,0.291206
Arlet,2010,Bufo bufo,Metamorph,0.495342
Arlet,2011,Bufo bufo,Metamorph,4.72
Arlet,2011,Bufo bufo,Metamorph,14.5
Arlet,2011,Bufo bufo,Metamorph,36.2
Arlet,2011,Bufo bufo,Metamorph,63.9
Arlet,2011,Bufo bufo,Metamorph,23.8
Arlet,2011,Bufo bufo,Metamorph,9.64
Arlet,2011,Bufo bufo,Metamorph,0.297
Arlet,2011,Bufo bufo,Metamorph,2.75
Arlet,2011,Bufo bufo,Metamorph,745.2
Arlet,2011,Bufo bufo,Metamorph,261
Arlet,2011,Bufo bufo,Metamorph,9.88
Arlet,2011,Bufo bufo,Metamorph,14.1
Arlet,2011,Bufo bufo,Metamorph,526.4
Arlet,2011,Bufo bufo,Metamorph,26.9
Arlet,2011,Bufo bufo,Metamorph,10.3
Arlet,2011,Bufo bufo,Metamorph,104.7
Arlet,2011,Bufo bufo,Metamorph,2.87
Arlet,2011,Bufo bufo,Metamorph,21.1
Arlet,2011,Bufo bufo,Metamorph,0.17
Arlet,2011,Bufo bufo,Metamorph,10.1
Arlet,2011,Bufo bufo,Metamorph,2114.9
Arlet,2011,Bufo bufo,Metamorph,7.62
Arlet,2011,Bufo bufo,Metamorph,0.527
Arlet,2011,Bufo bufo,Metamorph,2.5
Arlet,2011,Bufo bufo,Metamorph,77.2
Arlet,2011,Bufo bufo,Metamorph,5.21
Arlet,2011,Bufo bufo,Metamorph,90.1
Arlet,2011,Bufo bufo,Metamorph,5.63
Arlet,2011,Bufo bufo,Metamorph,13
Arlet,2011,Bufo bufo,Metamorph,20.6
Arlet,2011,Bufo bufo,Metamorph,6.11
Arlet,2011,Bufo bufo,Metamorph,462.3
Arlet,2011,Bufo bufo,Metamorph,48.3
Arlet,2012,Bufo bufo,Metamorph,0.767
Arlet,2012,Bufo bufo,Metamorph,0
Arlet,2012,Bufo bufo,Metamorph,4.65
Arlet,2012,Bufo bufo,Metamorph,0.266
Arlet,2012,Bufo bufo,Metamorph,1.12
Arlet,2012,Bufo bufo,Metamorph,0
Arlet,2012,Bufo bufo,Metamorph,1.38
Arlet,2012,Bufo bufo,Metamorph,0
Arlet,2012,Bufo bufo,Metamorph,0
Arlet,2012,Bufo bufo,Metamorph,0.0279
Arlet,2012,Bufo bufo,Metamorph,0.624
Arlet,2012,Bufo bufo,Metamorph,2.25
Arlet,2012,Bufo bufo,Metamorph,0
Arlet,2012,Bufo bufo,Metamorph,0.0425
Arlet,2012,Bufo bufo,Metamorph,0.605
Arlet,2012,Bufo bufo,Metamorph,0.465
Arlet,2012,Bufo bufo,Metamorph,2.02
Arlet,2012,Bufo bufo,Metamorph,0
Arlet,2012,Bufo bufo,Metamorph,0
Arlet,2012,Bufo bufo,Metamorph,0.194
Arlet,2012,Bufo bufo,Metamorph,0.603
Arlet,2012,Bufo bufo,Metamorph,0
Arlet,2012,Bufo bufo,Metamorph,0.0605
Arlet,2012,Bufo bufo,Metamorph,0.214
Arlet,2012,Bufo bufo,Metamorph,0.894
Arlet,2012,Bufo bufo,Metamorph,0.0176
Arlet,2012,Bufo bufo,Metamorph,0.589
Arlet,2012,Bufo bufo,Metamorph,0.272
Arlet,2012,Bufo bufo,Metamorph,1.77
Arlet,2012,Bufo bufo,Metamorph,0.357
Arlet,2013,Bufo bufo,Metamorphs,0
Arlet,2013,Bufo bufo,Metamorphs,0
Arlet,2013,Bufo bufo,Metamorphs,0
Arlet,2017,Bufo bufo,Metamorphs,0
Arlet,2017,Bufo bufo,Metamorphs,0
Arlet,2017,Bufo bufo,Metamorphs,0
Arlet,2017,Bufo bufo,Metamorphs,0
Arlet,2017,Bufo bufo,Metamorphs,0.761756301
Arlet,2017,Bufo bufo,Metamorphs,0.619266368
Arlet,2017,Bufo bufo,Metamorphs,0.106808925
Arlet,2017,Bufo bufo,Metamorphs,0
Arlet,2017,Bufo bufo,Metamorphs,0
Arlet,2017,Bufo bufo,Metamorphs,0.389623716
Arlet,2017,Bufo bufo,Juveniles/Metamorphs,4.587299228
